Freq	In	Out	Phase	Measured Gain (dB)	Expected Gain (dB)
1.04	20	19.8	-0.3	-0.087296108	-0.008962052
1.99	20	19.5	0.7	-0.219907686	-0.009800448
5.03	20	19.5	1.9	-0.219907686	-0.016010803
10.48	20	19.55	3.9	-0.197664679	-0.040516602
20.05	20	19.3	7.5	-0.309453733	-0.124096507
49.96	19.9	18.2	16.8	-0.775633768	-0.677280169
104.3	20	15.2	30.8	-2.383728154	-2.34212695
200.1	19.8	10.8	41.5	-5.264828695	-5.390978099
298.7	19.8	8.3	44	-7.551741958	-7.747457646
499.2	19.8	5.9	40	-10.51626357	-10.62099617
1044	19.8	4.3	27	-13.26393469	-13.31753143
2003	19.8	3.7	16	-14.56926932	-14.26401267
4980	19.8	3.6	9	-14.80725379	-14.6124468
10436	19.8	3.6	5.8	-14.80725379	-14.66704818
20024	19.8	3.6	4.5	-14.80725379	-14.67887132
