Freq	In	Out	Phase	Measured Gain (dB)	Expected Gain (dB)
1	8.15	8.15	1.18	0	0
2	8.15	8.15	1.1	0	0
4.94	8.15	8.15	1	0	0
9.95	8.15	8.15	-0.5	0	0
19.9	8.15	8.1	-1	-0.053451797	0
49.96	8.15	7.9	-3	-0.270610349	0
99.2	8.13	7.41	-5	-0.805446752	0
199	8.12	6.8	-4.8	-1.540942331	0
298.7	8.06	6.75	-2	-1.540625379	0
499.2	8.06	6.71	2	-1.592250433	0
989	8.08	7.12	4	-1.098627343	0
1916	8.08	7.57	3	-0.566309625	0
4980	8.08	7.84	-1	-0.261905962	0
10323	8.08	7.86	-4.5	-0.239776295	0
19970	8.1	7.82	-12	-0.305565316	0
