Freq	In	Out	Phase	Measured Gain (dB)	Expected Gain (dB)
0.961	1.41	1.45	0	0.242977792	0.008916005
1.94	1.41	1.45	-0.2	0.242977792	0.009743221
4.97	1.41	1.45	1	0.242977792	0.015836328
9.57	1.41	1.45	2.8	0.242977792	0.035239599
19.3	1.41	1.45	4.9	0.242977792	0.115731907
49.96	1.41	1.49	12	0.479343115	0.677280169
95.5	1.41	1.63	24	1.259369835	2.046690407
193	1.41	2.11	38.5	3.501266853	5.188700432
300.8	1.41	2.75	43	5.802271623	7.789232729
493.4	1.41	3.82	42	8.656885005	10.56247784
953.2	1.41	5.52	35	11.8543993	13.09318529
1920	1.41	6.87	22	13.75475249	14.22898963
4919	1.41	7.48	7	14.4936497	14.61069463
9960	1.41	7.58	-0.5	14.60900186	14.66546222
20055	1.41	7.56	-10	14.58605366	14.67888496
